title,directions,PrepTime,Difficulty
No-Bake Nut Cookies,"In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine.  Stir over medium heat until mixture bubbles all over top.  Boil and stir 5 minutes more. Take off heat.  Stir in vanilla and cereal; mix well.  Using 2 teaspoons, drop and shape into 30 clusters on wax paper.  Let stand until firm, about 30 minutes.",25,4
Jewell Ball's Chicken,"Place chipped beef on bottom of baking dish.  Place chicken on top of beef.  Mix soup and cream together; pour over chicken. Bake, uncovered, at 275 for 3 hours.",120,4
Creamy Corn,"In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings.",30,4
Chicken Funny,Boil and debone chicken.  Put bite size pieces in average size square casserole dish.  Pour gravy and cream of mushroom soup over chicken; level.  Make stuffing according to instructions on box (do not make too moist).  Put stuffing on top of chicken and gravy; level.  Sprinkle shredded cheese on top and bake at 350 for approximately 20 minutes or until golden and bubbly.,25,2
Reeses Cups(Candy)  ,Combine first four ingredients and press in 13 x 9-inch ungreased pan.  Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard.  Keep in refrigerator.,30,3
Cheeseburger Potato Soup,"Wash potatoes; prick several times with a fork.  Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes.  The potatoes should be soft, ready to eat.  Let them cool enough to handle.  Cut in half lengthwise; scoop out pulp and reserve.  Discard shells.  Brown ground beef until done.  Drain any grease from the meat.  Set aside when done.  Meat will be added later.  Melt butter in a large kettle over low heat; add flour, stirring until smooth.  Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly.  Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon.  Cook until heated (do not boil).  Stir in sour cream if desired; cook until heated (do not boil).  Sprinkle with remaining cheese, bacon and green onions.",75,3
Rhubarb Coffee Cake,"Cream sugar and butter.  Add egg and beat well.  To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda.  Mix well.  Add rhubarb and vanilla.  Pour into greased 9 x 13-inch pan and add Topping.",30,1
Scalloped Corn,"Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish.  Dot with remaining 4 teaspoons of butter.  Bake at 350 for 1 hour.",75,2
Nolan's Pepper Steak,"Roll steak strips in flour.  Brown in skillet.  Salt and pepper.  Combine tomato liquid, water, onions and browned steak. Cover and simmer for one and a quarter hours.  Uncover and stir in Worcestershire sauce.  Add tomatoes, green peppers and simmer for 5 minutes.  Serve over hot cooked rice.",75,4
Millionaire Pie,"Empty Cool Whip into a bowl.  Drain juice from pineapple.  Mix Cool Whip and pineapple.  Add condensed milk.  Squeeze lemons, remove seeds and add to Cool Whip and pineapple.  Chop nuts into small pieces and add to mixture.  Stir all ingredients together and mix well.  Pour into a graham cracker crust.  Use top from crust to cover top of pie.  Chill overnight.  Makes 2 pies.",100,5
Double Cherry Delight,"Drain cherries, measuring syrup.  Cut cherries in half.  Add ginger ale and enough water to syrup to make 1 1/2 cups.  Dissolve gelatin in boiling water.  Add measured liquid and almond extract. Chill until very thick.  Fold in marshmallows and the cherries. Spoon into 6-cup mold.  Chill until firm, at least 4 hours or overnight.  Unmold.  Makes about 5 1/3 cups.",75,4
Buckeye Candy,"Mix sugar, butter and peanut butter.  Roll into balls and place on cookie sheet.  Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler.  Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.",120,2
Quick Barbecue Wings,Clean wings.  Flour and fry until done.  Place fried chicken wings in microwave bowl.  Stir in barbecue sauce.  Microwave on High (stir once) for 4 minutes.,75,4
Taco Salad Chip Dip,"Mix taco sauce, sour cream and cream cheese.  Spread on pizza pan.  Brown meat.  Drain off fat and add taco seasoning.  Spread over cream mixture.  Layer with raw vegetables.  Top with cheese. Serve with chips.",120,5
Pink Stuff(Frozen Dessert)  ,Mix all ingredients together.  Pour into a 9 x 13-inch pan. Freeze until firm.  Allow to set out approximately 15 minutes before serving.,75,3
Fresh Strawberry Pie,"Mix water, cornstarch, sugar and salt in saucepan.  Stir constantly and boil until thick and clear.  Remove from heat and stir in jello.  Set aside to cool.  But don't allow it to set. Layer strawberries in baked crust.  Pour cooled glaze over. Continue layering berries and glaze.  Refrigerate.  Serve with whipped cream.",120,4
Easy German Chocolate Cake,Mix according to directions and add oil.  Bake in 9 x 13-inch pan.,30,3
Broccoli Salad,"Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.",120,2
Strawberry Whatever,"Mix Jell-O in boiling water.  Add strawberries, pineapple, crushed bananas and nuts.  Spread 1/2 mixture in 13 x 6 1/2-inch pan.  Allow to gel in freezer 30 minutes.  Add layer of sour cream, then remaining mixture on top.  Gel and serve.",120,1
Eggless Milkless Applesauce Cake,"Mix Crisco with applesauce, nuts and raisins.  Sift dry ingredients and add.  Mix well.  Put in a greased and floured loaf pan or tube pan.  Bake in loaf pan at 350 to 375 for 45 to 60 minutes, layer pan at 375 for 20 minutes or tube pan at 325 for 1 hour.",50,1
"Grandma Hanrath's Banana Breadfort Collins, Colorado  ","Cream sugar and shortening.  Add eggs, salt and soda, then bananas and flour.  Add nuts.  Mix well.  Bake in loaf pan at 350 for 1 hour.",150,3
Chocolate Frango Mints,Mix ingredients together for 5 minutes.  Scrape bowl often. Last fold in chocolate chip mints.  Bake at 350 for 35 to 40 minutes or until done (cake mix directions).,30,1
