0,1,2
1,2 tbsp.,butter
1,3.5 c.,bite size shredded rice biscuits
1,.5 c. ,"evaporated milk,"
1,.5 tsp.,vanilla
1,.5 c. ,broken nuts (pecans)
1,2 Tbsp.,butter
3,.333 c.,butter
3,.25 tsp.,pepper
4,21 oz.,cans chicken gravy
4,4 oz.,shredded cheese
5,1 c.,melted butter
5,3.5 c.,powdered sugar
5,1 pkg.,chocolate chips
6,8 oz.,carton sour cream
7,1 c.,buttermilk
7,1 tsp.,soda
7,1 c.,buttermilk
7,2 c.,rhubarb
7,1 tsp.,vanilla
8,1 can,whole kernel corn
8,.5 pkg.,saltine crackers
8,6 tsp.,butter
9,1.5 lb.,round steak
9,1.5 tbsp.,Worcestershire sauce
10,1 c.,pecans
11,6 pkg.,Jell-O cherry flavor gelatin
11,2 c.,boiling water
11,.125 tsp.,almond extract
11,1 c.,miniature marshmallows
12,8 oz.,soft butter
12,8 oz.,peanut butter
12,12 oz.,chocolate chips
14,8 oz.,Ortega taco sauce
14,8 oz.,sour cream
14,8 oz.,cream cheese
14,1 lb.,ground beef
14,1 pkg.,taco seasoning
15,8 oz.,container thawed whipped topping
15,2 tbsp.,lemon juice
16,1 qt.,cleaned strawberries
16,1.5 c.,water
16,4 tbsp.,cornstarch
16,1 c.,sugar
16,.125 tsp.,salt
16,4 tbsp.,strawberry jello
17,.25 c.,Wesson oil
18,1 c.,mayonnaise
18,2 tbsp.,vinegar
19,1 lb.,frozen strawberries in juice
19,1 c.,chopped pecans
19,1 pkg.,strawberry Jell-O
19,1.5 c.,boiling water
19,1 pt.,sour cream
20,1.5 c.,applesauce
20,3 tsp.,soda
20,1 tsp.,cinnamon
20,2 c.,sifted flour
20,1 c.,raisins
20,1 c.,nuts
21,1 tsp.,salt
21,2 tsp.,soda
21,2 c.,flour
22,1 pkg.,devil's food cake mix
22,1 pkg.,chocolate fudge pudding mix
22,6 oz.,chopped Frango mints
23,2 c.,7-Up
23,1 c.,vegetable oil
23,1 c.,Kikkoman soy sauce
24,1 c.,oil
24,1 tbsp.,sweet basil
24,2 tbsp.,oregano
24,1 tsp.,Italian seasoning
25,1.5 lb.,ground beef
25,1.5 tsp.,salt
26,1 c.,beef stock
26,2 tsp.,salt
26,1 tsp.,ground red pepper
27,2 lb.,round steak
27,2 tbsp.,cooking oil
27,.333 c.,water
27,2 tbsp.,brown sugar
27,1 tbsp.,prepared mustard
27,1 tbsp.,Worcestershire sauce
28,12 pkg.,semi-sweet chocolate chips
28,1 sq.,unsweetened chocolate
28,1.5 c.,chopped nuts
28,1 tsp.,vanilla
29,1 lb.,Ground Beef
29,1 pkg.,taco seasoning
30,1 c.,milk
30,2 tbsp.,sugar
30,1 pkg.,dry yeast
30,1 tbsp.,salt
30,3 tbsp.,Crisco oil
30,2 c.,plain flour
31,1 qt.,fresh strawberries
31,1 lb.,white grapes
31,1 lb.,purple grapes
32,.333 c.,red vinegar
32,2 tbsp.,oregano
32,2 tbsp.,garlic salt
33,1 c.,ground nuts
34,1 tsp.,salt
34,.25 tsp.,pepper
34,2 c.,half and half
34,3 c.,potatoes
34,1 c.,Cheddar cheese
34,.333 c.,green onions
36,1 c.,mayonnaise
36,1 c.,Parmesan cheese
37,16 oz.,sour cream
37,1 pkg.,dry vegetable soup mix
37,6 oz.,Cheddar cheese
38,1 lb.,very thin spaghetti.5 bottle McCormick Salad Supreme
39,16 oz.,can pear halves
39,8 oz.,carton lemon yogurt
40,7 lb.,watermelon rind
40,7 c.,sugar
41,3 lb.,chicken
41,16 oz.,can creamed corn
41,16 oz.,can English peas
41,16 oz.,can field peas
41,16 oz.,can butter beans
41,16 oz.,can tomatoes
41,46 oz.,can tomato juice
41,1 tbsp.,black pepper
41,1 tbsp.,salt
