,0,1
0,1,"['1 c.', 'firmly packed brown sugar,.5 c.', 'evaporated milk,.5 tsp.', 'vanilla,.5 c.', 'broken nuts (pecans)']"
1,1,"['2 tbsp.', 'butter or margarine']"
2,1,"['3.5 c.', 'bite size shredded rice biscuits']"
3,3,"['32 oz.', 'pkg.', 'frozen corn']"
4,3,"['8 oz.', 'pkg.', 'cream cheese']"
5,3,"['1/3 c.', 'butter']"
6,3,"['1/4 tsp.', 'pepper']"
7,4,"['21 oz.', 'cans chicken gravy']"
8,4,"['4 oz.', 'shredded cheese']"
9,5,"['1 c.', 'peanut butter,.75 c.', 'graham cracker crumbs']"
10,5,"['1 c.', 'melted butter']"
11,5,"['1 lb', '(3.5 c.) powdered sugar']"
12,5,"['1 large pkg.', 'chocolate chips']"
13,6,"['1 lb', 'of extra lean ground beef,.667 c.', 'butter or margarine']"
14,6,"['6 c.', 'milk,.75 tsp.', 'salt,.5 tsp.', 'pepper']"
15,6,"['8 oz.', 'carton sour cream (optional)']"
16,7,"['1.5 c.', 'sugar,.5 c.', 'butter']"
17,7,"['1 c.', 'buttermilk']"
18,7,"['2 c.', 'flour,.5 tsp.', 'salt']"
19,7,"['1 tsp.', 'soda']"
20,7,"['1 c.', 'buttermilk']"
21,7,"['2 c.', 'rhubarb']"
22,7,"['1 tsp.', 'vanilla']"
23,8,"['1 can whole kernel corn,.5 pkg.', '(approximately 20) saltine crackers']"
24,8,"['6 tsp.', 'butter']"
25,9,"['1.5 lb', 'round steak (1-inch thick)']"
26,9,"['1.75 c.', 'water,.5 c.', 'onions']"
27,9,"['1.5 tbsp.', 'Worcestershire sauce']"
28,10,"['1 c.', 'pecans']"
29,11,"['7 oz.', 'can dark sweet pitted cherries,.5 c.', 'ginger ale']"
30,11,"['1 (6 oz.) pkg.', 'Jell-O cherry flavor gelatin']"
31,11,"['2 c.', 'boiling water']"
32,11,"['1/8 tsp.', 'almond extract']"
33,11,"['1 c.', 'miniature marshmallows']"
34,12,"['8 oz.', 'soft butter']"
35,12,"['8 oz.', 'peanut butter']"
36,12,"['12 oz.', 'chocolate chips']"
37,14,"['8 oz.', 'Ortega taco sauce']"
38,14,"['8 oz.', 'sour cream']"
39,14,"['8 oz.', 'cream cheese']"
40,14,"['1 lb', 'ground beef']"
41,14,"['1 pkg.', 'taco seasoning']"
42,15,"['8 oz.', 'container thawed whipped topping']"
43,15,"['2 tbsp.', 'lemon juice']"
44,16,"['1 qt.', 'cleaned strawberries']"
45,16,"['1.5 c.', 'water']"
46,16,"['4 tbsp.', 'cornstarch']"
47,16,"['1 c.', 'sugar']"
48,16,"['1/8 tsp.', 'salt']"
49,16,"['4 tbsp.', 'strawberry jello']"
50,17,"['1/4 c.', 'Wesson oil']"
51,18,"['1 c.', 'mayonnaise']"
52,18,"['2 tbsp.', 'vinegar']"
53,19,"['1 lb', 'frozen strawberries in juice']"
54,19,"['1 c.', 'chopped pecans']"
55,19,"['1 large pkg.', 'strawberry Jell-O']"
56,19,"['1.5 c.', 'boiling water']"
57,19,"['1 pt.', 'sour cream']"
58,20,"['1.5 c.', 'applesauce']"
59,20,"['3 level tsp.', 'soda']"
60,20,"['1 tsp.', 'each: cinnamon']"
61,20,"['2 c.', 'sifted flour']"
62,20,"['1 c.', 'raisins']"
63,20,"['1 c.', 'nuts']"
64,21,"['1 c.', 'sugar,.5 c.', 'shortening']"
65,21,"['1 tsp.', 'salt']"
66,21,"['2 tsp.', 'soda']"
67,21,"['2 c.', 'flour']"
68,22,"['1 pkg.', ""devil's food cake mix""]"
69,22,"['1 pkg.', 'chocolate fudge pudding mix (instant)']"
70,22,"['8 oz.', 'sour cream,.75 c.', 'water,.5 c.', 'Wesson oil']"
71,22,"['6 oz.', 'chopped Frango mints']"
72,23,"['2 c.', '7-Up or Sprite']"
73,23,"['1 c.', 'vegetable oil']"
74,23,"['1 c.', 'Kikkoman soy sauce']"
75,24,"['1 c.', 'oil']"
76,24,"['1.5 c.', 'sugar,.5 c.', 'salt']"
77,24,"['1 tbsp.', 'sweet basil']"
78,24,"['2 tbsp.', 'oregano']"
